Date,EFA,QQQ,SPY,TLT,VNQ,VTI
2018-01-02,55.60332489013672,150.41159057617188,237.20828247070312,99.85722351074219,60.814205169677734,121.84088897705078
2018-01-03,55.870216369628906,151.87306213378906,238.7085723876953,100.33465576171875,60.637664794921875,122.54608917236328
2018-01-04,56.4825439453125,152.13880920410156,239.7147216796875,100.31875610351562,59.59307098388672,123.0133285522461
2018-01-05,56.79655456542969,153.66673278808594,241.3121795654297,100.03231048583984,59.622493743896484,123.73611450195312
2018-01-08,56.780860900878906,154.26458740234375,241.75347900390625,99.96862030029297,59.931461334228516,124.01820373535156
2018-01-09,56.84365463256836,154.2741241455078,242.30062866210938,98.63178253173828,59.15904235839844,124.24736785888672
2018-01-10,56.7337532043457,153.9134979248047,241.92996215820312,98.5124282836914,58.496986389160156,124.05342102050781
2018-01-11,57.126258850097656,154.96685791015625,243.69517517089844,98.91825866699219,58.298377990722656,125.10247039794922
2018-01-12,57.69933319091797,156.105712890625,245.28370666503906,99.0853500366211,57.82757568359375,125.83404541015625
2018-01-16,57.64437484741211,155.65968322753906,244.44534301757812,99.49913024902344,57.93791198730469,125.27869415283203
2018-01-17,57.942691802978516,157.3394317626953,246.7751922607422,99.3638916015625,58.34251022338867,126.43348693847656
2018-01-18,57.872039794921875,157.36788940429688,246.3605499267578,98.44082641601562,57.592159271240234,126.21311950683594
2018-01-19,58.19389343261719,157.86143493652344,247.48129272460938,97.92355346679688,57.901123046875,126.8653793334961
2018-01-22,58.492225646972656,159.5507049560547,249.4935760498047,98.01907348632812,58.4307975769043,127.870361328125
2018-01-23,58.680625915527344,160.86984252929688,250.0231170654297,98.44082641601562,59.239986419677734,128.1876983642578
2018-01-24,58.782676696777344,159.82594299316406,249.92601013183594,97.90768432617188,58.93101119995117,128.06431579589844
2018-01-25,58.554996490478516,159.7689666748047,250.03195190429688,98.71137237548828,58.82802200317383,128.11715698242188
2018-01-26,59.0731201171875,162.2174835205078,252.92678833007812,98.34534454345703,58.62205505371094,129.45703125
2018-01-29,58.53144836425781,161.42977905273438,251.2499542236328,97.66097259521484,57.83491134643555,128.6107940673828
2018-01-30,58.04475021362305,160.10116577148438,248.6728057861328,97.08802795410156,57.41562271118164,127.27095794677734
2018-01-31,57.966243743896484,160.76551818847656,248.7963409423828,97.66097259521484,58.44548797607422,127.31500244140625
2018-02-01,58.13108825683594,159.3988800048828,248.51393127441406,96.24562072753906,57.187583923339844,127.26213073730469
2018-02-02,56.95356369018555,156.21957397460938,243.1038055419922,95.3525390625,56.70206832885742,124.55587005615234
2018-02-05,54.567081451416016,150.06040954589844,232.9365997314453,96.25359344482422,55.017486572265625,119.65477752685547
2018-02-06,55.6425666809082,154.036865234375,237.5259552001953,95.65554809570312,55.02484130859375,121.61170196533203
2018-02-07,55.05379867553711,152.04385375976562,236.23736572265625,94.74650573730469,54.7894172668457,121.073974609375
2018-02-08,53.61720657348633,145.62847900390625,227.3763885498047,94.6428451538086,53.21517562866211,116.71936798095703
2018-02-09,53.84485626220703,148.14340209960938,230.7919464111328,94.04481506347656,54.546661376953125,118.32373046875
2018-02-12,54.66914367675781,150.77215576171875,234.18101501464844,94.45946502685547,54.568748474121094,119.90158081054688
2018-02-13,54.504276275634766,151.55038452148438,234.76351928710938,94.8820571899414,54.95127868652344,120.28060913085938
2018-02-14,55.46986389160156,154.3880157470703,237.93191528320312,93.82954406738281,54.55403518676758,121.96430206298828
2018-02-15,55.815277099609375,157.25401306152344,240.9679412841797,94.14849090576172,55.083675384521484,123.4540023803711
2018-02-16,56.06646728515625,156.55177307128906,241.03858947753906,94.65880584716797,55.385284423828125,123.50692749023438
2018-02-20,55.54051971435547,156.86497497558594,239.52938842773438,94.24419403076172,54.730594635009766,122.76647186279297
2018-02-21,55.27360534667969,156.41891479492188,238.33782958984375,93.08793640136719,53.64922332763672,122.19349670410156
2018-02-22,55.564083099365234,156.39996337890625,238.64674377441406,93.36700439453125,54.259765625,122.27281188964844
2018-02-23,56.00368118286133,159.59815979003906,242.4507293701172,94.1963119506836,55.127830505371094,124.1680679321289
2018-02-26,56.52964401245117,161.71446228027344,245.2659912109375,94.22820281982422,55.28230667114258,125.47264099121094
2018-02-27,55.689666748046875,159.7120361328125,242.2035369873047,94.0926513671875,53.99496078491211,123.89478302001953
2018-02-28,55.163692474365234,158.68711853027344,239.75001525878906,94.6906967163086,53.95819091796875,122.52848052978516
2018-03-01,54.237369537353516,156.09620666503906,236.26390075683594,95.33708190917969,54.009674072265625,121.073974609375
2018-03-02,54.496429443359375,157.529296875,237.4818115234375,94.56205749511719,53.98759078979492,121.85855865478516
2018-03-05,54.78688430786133,159.27549743652344,240.22666931152344,94.30635833740234,54.598167419433594,123.23363494873047
2018-03-06,55.10874557495117,159.94931030273438,240.83558654785156,94.39423370361328,54.85563659667969,123.68318939208984
2018-03-07,55.093048095703125,160.31944274902344,240.7472686767578,94.29037475585938,55.194026947021484,123.78900146484375
2018-03-08,55.2108154296875,161.20201110839844,241.91229248046875,94.83373260498047,55.29700469970703,124.25621795654297
2018-03-09,55.564083099365234,164.33377075195312,246.1221160888672,94.21052551269531,55.59862518310547,126.31892395019531
2018-03-12,55.62686538696289,165.2069549560547,245.81324768066406,94.75382995605469,55.84137725830078,126.24839782714844
2018-03-13,55.257911682128906,162.95774841308594,244.22459411621094,95.23322296142578,55.892879486083984,125.46382904052734
2018-03-14,55.39136505126953,162.92926025390625,242.971435546875,96.0721664428711,55.94436264038086,124.82918548583984
2018-03-15,55.359962463378906,162.7869110107422,242.7065887451172,96.0721664428711,55.929664611816406,124.66167449951172
2018-03-16,55.32070541381836,162.30288696289062,242.96978759765625,95.72857666015625,56.31953811645508,124.87326049804688
2018-03-19,54.87324523925781,158.83998107910156,239.6822967529297,95.42499542236328,55.834022521972656,123.26888275146484
2018-03-20,54.86538314819336,159.3627471923828,240.08999633789062,95.04145050048828,55.642757415771484,123.4540023803711
2018-03-21,54.95174026489258,158.6688232421875,239.6292724609375,95.14532470703125,55.2308235168457,123.3482437133789
2018-03-22,53.931209564208984,154.75253295898438,233.6391143798828,96.088134765625,54.90713882446289,120.32657623291016
2018-03-23,53.3345947265625,150.6746063232422,228.65919494628906,96.01625061035156,53.92872619628906,117.80412292480469
2018-03-26,54.29233932495117,156.2734375,234.9150848388672,95.64869689941406,54.54228591918945,120.9107666015625
2018-03-27,53.891963958740234,151.21641540527344,230.91880798339844,96.6714096069336,54.750267028808594,118.76883697509766
2018-03-28,54.205970764160156,149.47689819335938,230.23646545410156,96.9271011352539,56.12440490722656,118.49447631835938
2018-03-29,54.70054244995117,152.21453857421875,233.17837524414062,97.39852905273438,56.05754852294922,120.12303161621094
2018-04-02,53.94691467285156,147.82290649414062,228.145263671875,97.59069061279297,55.29991912841797,117.38813018798828
2018-04-03,54.29233932495117,149.48635864257812,231.0694122314453,96.83804321289062,55.76789093017578,118.84854125976562
2018-04-04,54.480735778808594,151.84378051757812,233.5416717529297,96.63784790039062,56.354671478271484,120.18499755859375
2018-04-05,54.84183883666992,152.70880126953125,235.38478088378906,95.91722869873047,56.33238220214844,121.02581787109375
2018-04-06,54.480735778808594,148.8875274658203,230.13902282714844,96.96614074707031,55.909000396728516,118.48560333251953
2018-04-09,54.92818832397461,149.93312072753906,231.27320861816406,97.12627410888672,55.730712890625,118.88390350341797
2018-04-10,55.51697540283203,153.24114990234375,234.95057678222656,96.95013427734375,55.67131042480469,120.81336212158203
2018-04-11,55.30500793457031,152.3571014404297,233.71890258789062,97.29444885253906,55.79014587402344,120.25577545166016
2018-04-12,55.51697540283203,154.1916961669922,235.6417236328125,96.5818099975586,55.166221618652344,121.22938537597656
2018-04-13,55.571922302246094,153.3931884765625,234.95057678222656,96.80597686767578,55.45590591430664,120.88420104980469
2018-04-16,55.65827178955078,154.56246948242188,236.8822784423828,96.83804321289062,55.79758071899414,121.89317321777344
2018-04-17,55.909481048583984,157.88943481445312,239.41659545898438,97.10225677490234,56.45123291015625,123.17652893066406
2018-04-18,56.1999397277832,158.21261596679688,239.59371948242188,96.32557678222656,56.33238220214844,123.3447036743164
2018-04-19,55.98797607421875,156.7582244873047,238.2646026611328,95.5408706665039,55.51533508300781,122.67206573486328
2018-04-20,55.77602005004883,154.27723693847656,236.24424743652344,94.85226440429688,55.00281524658203,121.69847869873047
2018-04-23,55.70536804199219,153.88746643066406,236.2088623046875,94.87627410888672,54.958248138427734,121.65422058105469
2018-04-24,55.47771453857422,150.62710571289062,233.02769470214844,94.44389343261719,55.166221618652344,120.19383239746094
2018-04-25,55.38351821899414,150.8076629638672,233.60366821289062,93.81134796142578,55.062225341796875,120.32657623291016
2018-04-26,55.65827178955078,153.9825897216797,235.97845458984375,94.4678955078125,55.78274154663086,121.46835327148438
2018-04-27,55.713218688964844,154.07763671875,236.2000274658203,95.1965560913086,56.740901947021484,121.5479965209961
2018-04-30,55.53266906738281,152.98448181152344,234.38348388671875,95.36467742919922,56.518096923828125,120.66295623779297
2018-05-01,55.33641052246094,154.73350524902344,234.79991149902344,95.02122497558594,57.030609130859375,120.84877014160156
2018-05-02,55.31285858154297,153.8209686279297,233.22267150878906,94.91691589355469,56.82260513305664,120.14956665039062
2018-05-03,55.48555374145508,153.80198669433594,232.70875549316406,95.34224700927734,56.78547668457031,119.82209014892578
2018-05-04,55.681819915771484,156.7201690673828,235.72149658203125,95.48665618896484,57.4094123840332,121.37100982666016
2018-05-07,55.689666748046875,158.0225372314453,236.51895141601562,95.33419799804688,57.79564666748047,121.90203857421875
2018-05-08,55.697509765625,157.86090087890625,236.51895141601562,95.24595642089844,57.50599670410156,121.9462890625
2018-05-09,55.83097839355469,159.58139038085938,238.8050994873047,94.67619323730469,57.892215728759766,123.09686279296875
2018-05-10,56.19209289550781,161.23541259765625,241.03810119628906,95.43851470947266,58.345306396484375,124.1678695678711
2018-05-11,56.34123611450195,161.0832977294922,241.77357482910156,95.67932891845703,58.144775390625,124.41568756103516
2018-05-14,56.44330596923828,161.35894775390625,241.88876342773438,95.17371368408203,57.6471061706543,124.47762298583984
2018-05-15,56.03508758544922,159.5718994140625,240.222900390625,94.09040069580078,56.711204528808594,123.72531127929688
2018-05-16,56.11357498168945,160.6270294189453,241.2329864501953,93.72925567626953,56.54037094116211,124.3271255493164
2018-05-17,56.1999397277832,160.0092010498047,241.0292205810547,93.25580596923828,56.258113861083984,124.36254119873047
2018-05-18,55.99584197998047,159.1821746826172,240.42662048339844,94.05829620361328,56.33238220214844,124.08818817138672
2018-05-21,56.34909439086914,160.07574462890625,242.23435974121094,94.10646057128906,57.000892639160156,125.01748657226562
2018-05-22,56.278446197509766,159.86654663085938,241.56092834472656,93.96197509765625,57.082584381103516,124.55723571777344
2018-05-23,55.65827178955078,161.2163848876953,242.22549438476562,94.64405822753906,57.654541015625,124.88475036621094
2018-05-24,55.48555374145508,161.1688690185547,241.72926330566406,95.39839172363281,57.535682678222656,124.68118286132812
2018-05-25,55.124454498291016,161.3305206298828,241.15330505371094,95.9922103881836,57.73624801635742,124.44222259521484
2018-05-29,54.001861572265625,160.61756896972656,238.37977600097656,98.09473419189453,58.01105880737305,123.21195983886719
2018-05-30,54.82613754272461,161.7677001953125,241.56092834472656,97.43669128417969,58.798431396484375,124.80510711669922
2018-05-31,54.480735778808594,161.66319274902344,240.08111572265625,97.27621459960938,58.59786605834961,123.94656372070312
2018-06-01,54.95174026489258,164.201171875,242.43812561035156,96.76225280761719,58.85786056518555,125.23882293701172
2018-06-04,55.11659240722656,165.68405151367188,243.59005737304688,96.06246948242188,59.370365142822266,125.82293701171875
2018-06-05,55.03025817871094,166.19735717773438,243.76736450195312,96.28768920898438,59.214378356933594,126.00880432128906
2018-06-06,55.524810791015625,167.16693115234375,245.80531311035156,95.50745391845703,59.35551071166992,127.12403869628906
2018-06-07,55.2108154296875,165.80760192871094,245.77871704101562,96.43245697021484,59.35551071166992,126.93810272216797
2018-06-08,55.27360534667969,165.81710815429688,246.50540161132812,96.14289093017578,59.570899963378906,127.37178802490234
2018-06-11,55.62686538696289,166.263916015625,246.83323669433594,95.9659423828125,59.48176956176758,127.55770874023438
2018-06-12,55.27360534667969,167.13844299316406,247.15228271484375,95.99008178710938,59.838314056396484,127.8232192993164
